,SPY,AAPL,Cash,Trades,Leverage,Stock_Value,Cummulative_Value,Shares of AAPL,Value of AAPL,Transactions of AAPL
2011-01-20,124.26,331.26,2999816.62,-1999816.62,1.99981662,-1999816.62,1000000.0,-6037.0,-1999816.62,-1999816.62
2011-01-21,124.54,325.32,2999816.62,0.0,1.89596785001,-1963956.84,1035859.78,-6037.0,-1963956.84,0.0
2011-01-24,125.25,336.01,2999816.62,0.0,2.08837818061,-2028492.37,971324.25,-6037.0,-2028492.37,0.0
2011-01-25,125.31,339.94,2999816.62,0.0,2.16570313657,-2052217.78,947598.84,-6037.0,-2052217.78,0.0
2011-01-26,125.8,342.38,2999816.62,0.0,2.21569055774,-2066948.06,932868.56,-6037.0,-2066948.06,0.0
2011-01-27,126.11,341.74,2999816.62,0.0,2.20242700305,-2063084.38,936732.24,-6037.0,-2063084.38,0.0
2011-01-28,123.91,334.66,2999816.62,0.0,2.06268058924,-2020342.42,979474.2,-6037.0,-2020342.42,0.0
2011-01-31,124.84,337.87,2999816.62,0.0,2.1244983845,-2039721.19,960095.43,-6037.0,-2039721.19,0.0
2011-02-01,126.84,343.55,2999816.62,0.0,2.24022417803,-2074011.35,925805.27,-6037.0,-2074011.35,0.0
2011-02-02,126.6,342.85,2999816.62,0.0,2.2255011625,-2069785.45,930031.17,-6037.0,-2069785.45,0.0
2011-02-03,126.88,341.97,2999816.62,0.0,2.20718097934,-2064472.89,935343.73,-6037.0,-2064472.89,0.0
2011-02-04,127.24,345.02,2999816.62,0.0,2.27158424417,-2082885.74,916930.88,-6037.0,-2082885.74,0.0
2011-02-07,128.03,350.38,2999816.62,0.0,2.39126122113,-2115244.06,884572.56,-6037.0,-2115244.06,0.0
2011-02-08,128.61,353.68,2999816.62,0.0,2.46939805017,-2135166.16,864650.46,-6037.0,-2135166.16,0.0
2011-02-09,128.32,356.63,2999816.62,0.0,2.54235980765,-2152975.31,846841.31,-6037.0,-2152975.31,0.0
2011-02-10,128.37,353.02,2999816.62,0.0,2.45348395404,-2131181.74,868634.88,-6037.0,-2131181.74,0.0
2011-02-11,129.14,355.32,2999816.62,0.0,2.50958454766,-2145066.84,854749.78,-6037.0,-2145066.84,0.0
2011-02-14,129.45,357.64,2999816.62,0.0,2.56805024369,-2159072.68,840743.94,-6037.0,-2159072.68,0.0
2011-02-15,129.04,358.36,2892308.62,107508.0,2.45805590238,-2055911.32,836397.3,-5737.0,-2055911.32,107508.0
2011-02-16,129.85,361.58,2783834.62,108474.0,2.4035363621,-1965910.46,817924.16,-5437.0,-1965910.46,108474.0
2011-02-17,130.24,356.77,2676803.62,107031.0,2.17128221598,-1832727.49,844076.13,-5137.0,-1832727.49,107031.0
2011-02-18,130.51,349.06,2572085.62,104718.0,1.91064484254,-1688403.22,883682.4,-4837.0,-1688403.22,104718.0
2011-02-22,127.9,337.16,2568714.02,3371.6,1.72906660524,-1627471.32,941242.7,-4827.0,-1627471.32,3371.6
2011-02-23,127.11,341.16,2565302.42,3411.6,1.78252073601,-1643367.72,921934.7,-4817.0,-1643367.72,3411.6
2011-02-24,127.02,341.41,2561888.32,3414.1,1.7824520412,-1641157.87,920730.45,-4807.0,-1641157.87,3414.1
2011-02-25,128.38,346.67,2558421.62,3466.7,1.85714903762,-1662975.99,895445.63,-4797.0,-1662975.99,3466.7
