,$SPX,Cummulative_Value
2008-02-28,1367.68,10000.0
2008-02-29,1330.63,10128.0
2008-03-03,1331.34,10094.0
2008-03-04,1326.75,9957.0
2008-03-05,1333.7,9987.0
2008-03-06,1304.34,10251.0
2008-03-07,1293.37,10120.0
2008-03-10,1273.37,10114.0
2008-03-11,1320.65,9885.0
2008-03-12,1308.77,9832.0
2008-03-13,1315.48,9939.0
2008-03-14,1288.14,10001.0
2008-03-17,1276.6,9972.0
2008-03-18,1330.74,9708.0
2008-03-19,1298.42,9844.0
2008-03-20,1329.51,9716.0
2008-03-24,1349.88,9648.0
2008-03-25,1352.99,9749.0
2008-03-26,1341.13,9846.0
2008-03-27,1325.76,9975.0
2008-03-28,1315.22,9975.0
2008-03-31,1322.7,9975.0
2008-04-01,1370.18,9975.0
2008-04-02,1367.53,9975.0
2008-04-03,1369.31,9975.0
2008-04-04,1370.4,9975.0
2008-04-07,1372.54,9975.0
2008-04-08,1365.54,9975.0
2008-04-09,1354.49,9975.0
2008-04-10,1360.55,9975.0
2008-04-11,1332.83,9975.0
2008-04-14,1328.32,9975.0
2008-04-15,1334.43,9975.0
2008-04-16,1364.71,9975.0
2008-04-17,1365.56,9975.0
2008-04-18,1390.33,9975.0
2008-04-21,1388.17,9975.0
2008-04-22,1375.94,9975.0
2008-04-23,1379.93,9982.0
2008-04-24,1388.82,9927.0
2008-04-25,1397.84,10030.0
2008-04-28,1396.37,10158.0
2008-04-29,1390.94,10051.0
2008-04-30,1385.59,10249.0
2008-05-01,1409.34,9981.0
2008-05-02,1413.9,10020.0
2008-05-05,1407.49,10126.0
2008-05-06,1418.26,10054.0
2008-05-07,1392.57,9885.0
2008-05-08,1397.68,9813.0
2008-05-09,1388.28,9893.0
2008-05-12,1403.58,9783.0
2008-05-13,1403.04,9659.0
2008-05-14,1408.66,9572.0
2008-05-15,1423.57,9485.0
2008-05-16,1425.35,9545.0
2008-05-19,1426.63,9668.0
2008-05-20,1413.4,9789.0
2008-05-21,1390.71,9933.0
2008-05-22,1394.35,9933.0
2008-05-23,1375.93,9933.0
2008-05-27,1385.35,9933.0
2008-05-28,1390.84,9933.0
2008-05-29,1398.26,9933.0
2008-05-30,1400.38,9933.0
2008-06-02,1385.67,9933.0
2008-06-03,1377.65,9933.0
2008-06-04,1377.2,9933.0
2008-06-05,1404.05,9933.0
2008-06-06,1360.68,9933.0
2008-06-09,1361.76,9933.0
2008-06-10,1358.44,9933.0
2008-06-11,1335.49,9933.0
2008-06-12,1339.87,9933.0
2008-06-13,1360.03,9933.0
2008-06-16,1360.14,9933.0
2008-06-17,1350.93,9933.0
2008-06-18,1337.81,9933.0
2008-06-19,1342.83,9933.0
2008-06-20,1317.93,9933.0
2008-06-23,1318.0,9933.0
2008-06-24,1314.29,9933.0
2008-06-25,1321.97,9933.0
2008-06-26,1283.15,9933.0
2008-06-27,1278.38,9933.0
2008-06-30,1280.0,9933.0
2008-07-01,1284.91,9933.0
2008-07-02,1261.52,9917.0
2008-07-03,1262.9,9958.0
2008-07-07,1252.31,10139.0
2008-07-08,1273.7,10360.0
2008-07-09,1244.69,10360.0
2008-07-10,1253.39,10360.0
2008-07-11,1239.49,10360.0
2008-07-14,1228.3,10360.0
2008-07-15,1214.91,10360.0
2008-07-16,1245.36,10360.0
2008-07-17,1260.32,10360.0
2008-07-18,1260.68,10360.0
2008-07-21,1260.0,10360.0
2008-07-22,1277.0,10236.0
2008-07-23,1282.19,10280.0
2008-07-24,1252.54,10236.0
2008-07-25,1257.76,10372.0
2008-07-28,1234.37,10583.0
2008-07-29,1263.2,10452.0
2008-07-30,1284.26,10341.0
2008-07-31,1267.38,10423.0
2008-08-01,1260.31,10547.0
2008-08-04,1249.01,10462.0
2008-08-05,1284.88,10340.0
2008-08-06,1289.19,10267.0
2008-08-07,1266.07,10277.0
2008-08-08,1296.32,10299.0
2008-08-11,1305.32,10505.0
2008-08-12,1289.59,10505.0
2008-08-13,1285.83,10505.0
2008-08-14,1292.93,10505.0
2008-08-15,1298.2,10505.0
2008-08-18,1278.6,10505.0
2008-08-19,1266.69,10505.0
2008-08-20,1274.54,10505.0
2008-08-21,1277.72,10505.0
2008-08-22,1292.2,10685.0
2008-08-25,1266.84,10493.0
2008-08-26,1271.51,10459.0
2008-08-27,1281.66,10541.0
2008-08-28,1300.68,10652.0
2008-08-29,1282.83,10388.0
2008-09-02,1277.58,10079.0
2008-09-03,1274.98,10073.0
2008-09-04,1236.83,9762.0
2008-09-05,1242.31,9700.0
2008-09-08,1267.79,9975.0
2008-09-09,1224.51,9766.0
2008-09-10,1232.04,10045.0
2008-09-11,1249.05,10153.0
2008-09-12,1251.7,10131.0
2008-09-15,1192.7,9780.0
2008-09-16,1213.6,9860.0
2008-09-17,1156.39,9434.0
2008-09-18,1206.51,9773.0
2008-09-19,1255.08,10120.0
2008-09-22,1207.09,10120.0
2008-09-23,1188.22,10120.0
2008-09-24,1185.87,10120.0
2008-09-25,1209.18,10120.0
2008-09-26,1213.27,10120.0
2008-09-29,1106.42,10120.0
2008-09-30,1166.36,10120.0
2008-10-01,1161.06,10120.0
2008-10-02,1114.28,10120.0
2008-10-03,1099.23,10120.0
2008-10-06,1056.89,10120.0
2008-10-07,996.23,10120.0
2008-10-08,984.94,10120.0
2008-10-09,909.92,10120.0
2008-10-10,899.22,10120.0
2008-10-13,1003.35,10534.0
2008-10-14,998.01,10664.0
2008-10-15,907.84,10170.0
2008-10-16,946.43,10470.0
2008-10-17,940.55,10402.0
2008-10-20,985.4,10562.0
2008-10-21,955.05,10223.0
2008-10-22,896.78,9734.0
2008-10-23,908.11,9804.0
2008-10-24,876.77,9592.0
2008-10-27,848.92,9368.0
2008-10-28,940.51,10076.0
2008-10-29,930.09,10162.0
2008-10-30,954.09,10393.0
2008-10-31,968.75,10393.0
2008-11-03,966.3,10393.0
2008-11-04,1005.75,10393.0
2008-11-05,952.77,10393.0
2008-11-06,904.88,10393.0
2008-11-07,930.99,10393.0
2008-11-10,919.21,10393.0
2008-11-11,898.95,10393.0
2008-11-12,852.3,10393.0
2008-11-13,911.29,10393.0
2008-11-14,873.29,10393.0
2008-11-17,850.75,10393.0
2008-11-18,859.12,10393.0
2008-11-19,806.58,10393.0
2008-11-20,752.44,10393.0
2008-11-21,800.03,10393.0
2008-11-24,851.81,10861.0
2008-11-25,857.39,10932.0
2008-11-26,887.68,11028.0
2008-11-28,896.24,11021.0
2008-12-01,816.21,10582.0
2008-12-02,848.81,10857.0
2008-12-03,870.74,10934.0
2008-12-04,845.22,10934.0
2008-12-05,876.07,10934.0
2008-12-08,909.7,10934.0
2008-12-09,888.67,10934.0
2008-12-10,899.24,10934.0
2008-12-11,873.59,10934.0
2008-12-12,879.73,10934.0
2008-12-15,868.57,10934.0
2008-12-16,913.18,10934.0
2008-12-17,904.42,10934.0
2008-12-18,885.28,10934.0
2008-12-19,887.88,10934.0
2008-12-22,871.63,10934.0
