,Cummulative_Value
2007-12-31,10000.0
2008-01-02,10000.0
2008-01-03,10000.0
2008-01-04,10000.0
2008-01-07,10000.0
2008-01-08,10000.0
2008-01-09,10000.0
2008-01-10,10000.0
2008-01-11,10000.0
2008-01-14,10000.0
2008-01-15,10000.0
2008-01-16,10000.0
2008-01-17,10000.0
2008-01-18,10000.0
2008-01-22,10000.0
2008-01-23,10000.0
2008-01-24,10000.0
2008-01-25,10000.0
2008-01-28,10000.0
2008-01-29,10000.0
2008-01-30,10000.0
2008-01-31,10000.0
2008-02-01,10000.0
2008-02-04,10000.0
2008-02-05,10000.0
2008-02-06,10000.0
2008-02-07,10000.0
2008-02-08,10086.0
2008-02-11,10258.0
2008-02-12,10387.0
2008-02-13,10561.0
2008-02-14,10350.0
2008-02-15,10353.0
2008-02-19,10246.0
2008-02-20,10508.0
2008-02-21,10423.0
2008-02-22,10529.0
2008-02-25,10714.0
2008-02-26,10714.0
2008-02-27,10714.0
2008-02-28,10714.0
2008-02-29,10714.0
2008-03-03,10714.0
2008-03-04,10714.0
2008-03-05,10714.0
2008-03-06,10714.0
2008-03-07,10714.0
2008-03-10,10714.0
2008-03-11,10714.0
2008-03-12,10714.0
2008-03-13,10714.0
2008-03-14,10714.0
2008-03-17,10714.0
2008-03-18,10714.0
2008-03-19,10714.0
2008-03-20,10714.0
2008-03-24,10714.0
2008-03-25,10714.0
2008-03-26,10714.0
2008-03-27,10714.0
2008-03-28,10627.0
2008-03-31,10679.0
2008-04-01,10804.0
2008-04-02,10649.0
2008-04-03,10760.0
2008-04-04,10736.0
2008-04-07,10787.0
2008-04-08,10784.0
2008-04-09,10830.0
2008-04-10,11015.0
2008-04-11,10759.0
2008-04-14,10877.0
2008-04-15,10866.0
2008-04-16,11171.0
2008-04-17,11171.0
2008-04-18,11171.0
2008-04-21,11171.0
2008-04-22,11171.0
2008-04-23,11171.0
2008-04-24,11171.0
2008-04-25,11171.0
2008-04-28,11171.0
2008-04-29,11171.0
2008-04-30,11171.0
2008-05-01,11171.0
2008-05-02,11171.0
2008-05-05,11171.0
2008-05-06,11171.0
2008-05-07,11171.0
2008-05-08,11171.0
2008-05-09,11171.0
2008-05-12,11171.0
2008-05-13,11171.0
2008-05-14,11171.0
2008-05-15,11171.0
2008-05-16,11171.0
2008-05-19,11171.0
2008-05-20,11171.0
2008-05-21,11171.0
2008-05-22,11271.0
2008-05-23,11224.0
2008-05-27,11513.0
2008-05-28,11719.0
2008-05-29,11734.0
2008-05-30,11708.0
2008-06-02,11517.0
2008-06-03,11561.0
2008-06-04,11534.0
2008-06-05,11620.0
2008-06-06,11293.0
2008-06-09,11378.0
2008-06-10,11385.0
2008-06-11,11136.0
2008-06-12,11192.0
2008-06-13,11405.0
2008-06-16,11457.0
2008-06-17,11457.0
2008-06-18,11457.0
2008-06-19,11457.0
2008-06-20,11457.0
2008-06-23,11457.0
2008-06-24,11457.0
2008-06-25,11457.0
2008-06-26,11457.0
2008-06-27,11457.0
2008-06-30,11457.0
2008-07-01,11457.0
2008-07-02,11457.0
2008-07-03,11457.0
2008-07-07,11457.0
2008-07-08,11457.0
2008-07-09,11779.0
2008-07-10,11779.0
2008-07-11,11877.0
2008-07-14,11877.0
2008-07-15,11877.0
2008-07-16,11624.0
2008-07-17,11624.0
2008-07-18,11624.0
2008-07-21,11624.0
2008-07-22,11624.0
2008-07-23,11624.0
2008-07-24,11624.0
2008-07-25,11624.0
2008-07-28,11624.0
2008-07-29,11624.0
2008-07-30,11624.0
2008-07-31,11624.0
2008-08-01,11624.0
2008-08-04,11624.0
2008-08-05,11624.0
2008-08-06,11624.0
2008-08-07,11624.0
2008-08-08,11624.0
2008-08-11,11624.0
2008-08-12,11496.0
2008-08-13,11550.0
2008-08-14,11656.0
2008-08-15,11602.0
2008-08-18,11437.0
2008-08-19,11249.0
2008-08-20,11244.0
2008-08-21,11244.0
2008-08-22,11244.0
2008-08-25,11244.0
2008-08-26,11244.0
2008-08-27,11244.0
2008-08-28,11244.0
2008-08-29,11244.0
2008-09-02,11244.0
2008-09-03,11244.0
2008-09-04,11244.0
2008-09-05,11244.0
2008-09-08,11244.0
2008-09-09,11244.0
2008-09-10,11244.0
2008-09-11,11244.0
2008-09-12,11244.0
2008-09-15,11244.0
2008-09-16,11244.0
2008-09-17,11244.0
2008-09-18,11244.0
2008-09-19,11244.0
2008-09-22,11489.0
2008-09-23,11489.0
2008-09-24,11489.0
2008-09-25,11489.0
2008-09-26,11553.0
2008-09-29,11553.0
2008-09-30,11553.0
2008-10-01,12187.0
2008-10-02,12187.0
2008-10-03,12187.0
2008-10-06,12187.0
2008-10-07,12187.0
2008-10-08,12187.0
2008-10-09,12187.0
2008-10-10,12187.0
2008-10-13,12187.0
2008-10-14,12187.0
2008-10-15,12187.0
2008-10-16,12187.0
2008-10-17,12187.0
2008-10-20,12187.0
2008-10-21,12187.0
2008-10-22,12187.0
2008-10-23,12187.0
2008-10-24,12187.0
2008-10-27,12187.0
2008-10-28,12187.0
2008-10-29,12187.0
2008-10-30,12187.0
2008-10-31,11975.0
2008-11-03,11975.0
2008-11-04,11908.0
2008-11-05,11908.0
2008-11-06,12309.0
2008-11-07,12309.0
2008-11-10,12309.0
2008-11-11,12309.0
2008-11-12,12309.0
2008-11-13,12309.0
2008-11-14,12309.0
2008-11-17,12309.0
2008-11-18,12309.0
2008-11-19,12309.0
2008-11-20,12309.0
2008-11-21,12309.0
2008-11-24,12309.0
2008-11-25,12309.0
2008-11-26,12309.0
2008-11-28,12309.0
2008-12-01,12309.0
2008-12-02,12309.0
2008-12-03,12309.0
2008-12-04,12611.0
2008-12-05,12611.0
2008-12-08,12212.0
2008-12-09,12212.0
2008-12-10,12196.0
2008-12-11,12196.0
2008-12-12,12196.0
2008-12-15,12196.0
2008-12-16,12196.0
2008-12-17,12196.0
2008-12-18,12196.0
2008-12-19,12196.0
2008-12-22,12196.0
2008-12-23,12196.0
2008-12-24,12188.0
2008-12-26,12264.0
2008-12-29,12256.0
2008-12-30,12471.0
2008-12-31,12528.0
2009-01-02,12828.0
2009-01-05,12777.0
2009-01-06,13002.0
2009-01-07,13002.0
2009-01-08,13002.0
2009-01-09,13002.0
2009-01-12,13002.0
2009-01-13,13002.0
2009-01-14,13002.0
2009-01-15,13088.0
2009-01-16,13163.0
2009-01-20,12888.0
2009-01-21,13771.0
2009-01-22,13771.0
2009-01-23,13771.0
2009-01-26,13771.0
2009-01-27,13771.0
2009-01-28,13771.0
2009-01-29,13771.0
2009-01-30,13771.0
2009-02-02,13771.0
2009-02-03,13771.0
2009-02-04,13771.0
2009-02-05,13771.0
2009-02-06,13771.0
2009-02-09,13771.0
2009-02-10,13771.0
2009-02-11,13771.0
2009-02-12,13771.0
2009-02-13,13771.0
2009-02-17,13771.0
2009-02-18,13850.0
2009-02-19,13607.0
2009-02-20,13594.0
2009-02-23,13179.0
2009-02-24,13179.0
2009-02-25,13179.0
2009-02-26,13179.0
2009-02-27,13179.0
2009-03-02,13459.0
2009-03-03,13459.0
2009-03-04,13459.0
2009-03-05,13459.0
2009-03-06,13459.0
2009-03-09,13459.0
2009-03-10,13459.0
2009-03-11,13459.0
2009-03-12,13459.0
2009-03-13,13463.0
2009-03-16,13463.0
2009-03-17,13304.0
2009-03-18,13304.0
2009-03-19,13304.0
2009-03-20,13304.0
2009-03-23,13304.0
2009-03-24,13304.0
2009-03-25,13304.0
2009-03-26,13304.0
2009-03-27,13304.0
2009-03-30,13304.0
2009-03-31,13304.0
2009-04-01,13304.0
2009-04-02,13304.0
2009-04-03,13304.0
2009-04-06,13304.0
2009-04-07,13304.0
2009-04-08,13304.0
2009-04-09,13304.0
2009-04-13,13304.0
2009-04-14,13304.0
2009-04-15,13304.0
2009-04-16,13304.0
2009-04-17,13304.0
2009-04-20,13304.0
2009-04-21,13304.0
2009-04-22,13304.0
2009-04-23,13304.0
2009-04-24,13304.0
2009-04-27,13304.0
2009-04-28,13491.0
2009-04-29,13689.0
2009-04-30,13689.0
2009-05-01,13689.0
2009-05-04,13689.0
2009-05-05,13689.0
2009-05-06,13689.0
2009-05-07,13689.0
2009-05-08,13689.0
2009-05-11,13822.0
2009-05-12,13920.0
2009-05-13,13762.0
2009-05-14,13647.0
2009-05-15,13678.0
2009-05-18,13981.0
2009-05-19,14069.0
2009-05-20,13931.0
2009-05-21,13815.0
2009-05-22,13727.0
2009-05-26,14022.0
2009-05-27,13825.0
2009-05-28,13991.0
2009-05-29,14141.0
2009-06-01,14339.0
2009-06-02,14339.0
2009-06-03,14339.0
2009-06-04,14339.0
2009-06-05,14339.0
2009-06-08,14339.0
2009-06-09,14339.0
2009-06-10,14339.0
2009-06-11,14339.0
2009-06-12,14339.0
2009-06-15,14339.0
2009-06-16,14339.0
2009-06-17,14339.0
2009-06-18,14339.0
2009-06-19,14297.0
2009-06-22,14168.0
2009-06-23,14161.0
2009-06-24,14133.0
2009-06-25,14314.0
2009-06-26,14278.0
2009-06-29,14292.0
2009-06-30,14159.0
2009-07-01,14198.0
2009-07-02,14198.0
2009-07-06,14198.0
2009-07-07,14198.0
2009-07-08,14198.0
2009-07-09,14198.0
2009-07-10,14198.0
2009-07-13,14198.0
2009-07-14,14198.0
2009-07-15,14198.0
2009-07-16,13875.0
2009-07-17,13875.0
2009-07-20,13875.0
2009-07-21,13875.0
2009-07-22,13875.0
2009-07-23,13875.0
2009-07-24,13875.0
2009-07-27,13875.0
2009-07-28,13875.0
2009-07-29,13875.0
2009-07-30,13875.0
2009-07-31,13875.0
2009-08-03,13875.0
2009-08-04,13875.0
2009-08-05,13875.0
2009-08-06,13875.0
2009-08-07,13875.0
2009-08-10,13875.0
2009-08-11,13875.0
2009-08-12,13875.0
2009-08-13,13875.0
2009-08-14,13875.0
2009-08-17,13875.0
2009-08-18,13948.0
2009-08-19,14037.0
2009-08-20,14073.0
2009-08-21,14163.0
2009-08-24,14108.0
2009-08-25,14062.0
2009-08-26,14123.0
2009-08-27,14119.0
2009-08-28,14004.0
2009-08-31,13988.0
2009-09-01,13859.0
2009-09-02,13802.0
2009-09-03,13825.0
2009-09-04,13825.0
2009-09-08,13825.0
2009-09-09,13825.0
2009-09-10,13825.0
2009-09-11,13825.0
2009-09-14,13746.0
2009-09-15,13746.0
2009-09-16,13746.0
2009-09-17,13746.0
2009-09-18,13746.0
2009-09-21,13746.0
2009-09-22,13746.0
2009-09-23,13746.0
2009-09-24,13746.0
2009-09-25,13746.0
2009-09-28,13746.0
2009-09-29,13746.0
2009-09-30,13822.0
2009-10-01,13660.0
2009-10-02,13766.0
2009-10-05,13835.0
2009-10-06,13987.0
2009-10-07,14123.0
2009-10-08,14076.0
2009-10-09,14422.0
2009-10-12,14422.0
2009-10-13,14422.0
2009-10-14,14422.0
2009-10-15,14422.0
2009-10-16,14422.0
2009-10-19,14556.0
2009-10-20,14534.0
2009-10-21,14348.0
2009-10-22,14521.0
2009-10-23,14300.0
2009-10-26,14276.0
2009-10-27,14328.0
2009-10-28,14408.0
2009-10-29,14538.0
2009-10-30,14324.0
2009-11-02,14319.0
2009-11-03,14376.0
2009-11-04,14388.0
2009-11-05,14560.0
2009-11-06,14650.0
2009-11-09,14889.0
2009-11-10,14889.0
2009-11-11,14889.0
2009-11-12,14889.0
2009-11-13,14816.0
2009-11-16,14816.0
2009-11-17,14816.0
2009-11-18,14816.0
2009-11-19,14816.0
2009-11-20,14816.0
2009-11-23,14816.0
2009-11-24,14816.0
2009-11-25,14816.0
2009-11-27,14816.0
2009-11-30,14816.0
2009-12-01,14816.0
2009-12-02,14816.0
2009-12-03,14816.0
2009-12-04,14816.0
2009-12-07,14816.0
2009-12-08,14793.0
2009-12-09,14945.0
2009-12-10,15035.0
2009-12-11,15035.0
2009-12-14,15035.0
2009-12-15,15035.0
2009-12-16,15035.0
2009-12-17,15035.0
2009-12-18,15084.0
2009-12-21,15154.0
2009-12-22,15276.0
2009-12-23,15283.0
2009-12-24,15337.0
2009-12-28,15503.0
2009-12-29,15503.0
2009-12-30,15503.0
2009-12-31,15503.0
