,Volume of $SPX,$SPX,Volume of SPY,SPY,Volume of IBM,IBM,Symbol,Order,rolling_mean_20,direction of rolling mean,Market Indicator,rolling_mean_10,rolling_mean_5,rolling_std,upper_band,lower_band,rolling_volume,rolling_std_volume,long execute,long enter price,long exit,short execute,short enter price,short exit,shares,Shares,Cash,Trades,Cummulative_Value
2008-01-29,3476501861.0,1362.3,168968300.0,123.93,6616200,97.44,IBM,None,94.2735,0,,95.308,97.092,2.84537903312,99.9642580662,88.5827419338,11838525.0,4479833.29705,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-30,3968440096.0,1355.81,334939200.0,123.01,7431100,97.02,IBM,None,94.161,0,,95.658,97.008,2.67692459049,99.514849181,88.807150819,11923465.0,4372788.68221,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-31,4445281555.0,1378.55,343680800.0,125.26,9054600,98.36,IBM,None,94.272,1,,96.161,97.044,2.80620853035,99.8844170607,88.6595829393,11901020.0,4386992.835,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-01,4450979424.0,1395.42,206843600.0,127.27,8047100,100.17,IBM,None,94.4635,1,,96.893,97.88,3.07278079955,100.609061599,88.3179384009,11926930.0,4361266.45092,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-04,3062680882.0,1380.82,124694300.0,125.67,5985500,99.12,IBM,None,94.776,1,0.6,97.309,98.422,3.21663668743,101.209273375,88.3427266251,11674475.0,4557364.9077,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-05,3580438084.0,1336.64,286882500.0,122.3,9048900,96.45,IBM,None,95.0045,1,0.8,97.658,98.224,3.16194056837,101.328381137,88.6806188633,11494400.0,4587824.83433,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-06,3453501811.0,1326.45,250792900.0,121.32,8265700,95.5,IBM,None,95.2985,1,1.0,97.464,97.92,2.89721694953,101.092933899,89.5040661009,11435965.0,4622753.83981,0,0.0,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-07,4043408032.0,1336.91,297368100.0,122.12,11255800,94.34,IBM,BUY,95.5015,1,1.0,97.08,97.116,2.65956718877,100.820634378,90.1823656225,11452650.0,4621403.53829,1,94.34,0,0,0,0,100,100,566.0,9434.0,10000.0
2008-02-08,3195169934.0,1331.29,221643500.0,121.34,6085600,95.2,IBM,None,95.6735,1,1.0,97.001,96.122,2.51200334185,100.697506684,90.6494933163,11225195.0,4773234.0938,0,94.34,0,0,0,0,100,100,566.0,0.0,10086.0
2008-02-11,3003486390.0,1339.13,188576300.0,121.96,6098300,96.92,IBM,None,96.0345,1,1.0,97.052,95.682,2.09206137326,100.218622747,91.8503772535,11082115.0,4886261.96459,0,94.34,0,0,0,0,100,100,566.0,0.0,10258.0
