,Volume of $SPX,$SPX,Volume of SPY,SPY,Volume of IBM,IBM,Daily_Delta,Symbol,Order,rolling_mean_20,direction of rolling mean,Market Indicator,rolling_std,upper_band,lower_band,Bull_Market,Bear_Market,long execute,long enter price,long exit,short execute,short enter price,short exit,shares,Shares,Cash,Trades,Cummulative_Value
2008-01-29,3476501861.0,1362.3,168968300.0,123.93,6616200,97.44,0.0,IBM,None,94.2735,0,,2.84537903312,99.9642580662,88.5827419338,0,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-01-30,3968440096.0,1355.81,334939200.0,123.01,7431100,97.02,0.0,IBM,None,94.161,0,,2.67692459049,99.514849181,88.807150819,0,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-01-31,4445281555.0,1378.55,343680800.0,125.26,9054600,98.36,1.38115852402,IBM,None,94.272,1,,2.80620853035,99.8844170607,88.6595829393,0,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-02-01,4450979424.0,1395.42,206843600.0,127.27,8047100,100.17,1.84017893453,IBM,None,94.4635,1,,3.07278079955,100.609061599,88.3179384009,0,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-02-04,3062680882.0,1380.82,124694300.0,125.67,5985500,99.12,-1.04821802935,IBM,None,94.776,1,0.6,3.21663668743,101.209273375,88.3427266251,0,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-02-05,3580438084.0,1336.64,286882500.0,122.3,9048900,96.45,-2.69370460048,IBM,None,95.0045,1,0.8,3.16194056837,101.328381137,88.6806188633,70,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-02-06,3453501811.0,1326.45,250792900.0,121.32,8265700,95.5,-0.984966303784,IBM,None,95.2985,1,1.0,2.89721694953,101.092933899,89.5040661009,70,0,0,0.0,0,0,0.0,0,0,0,10000.0,0.0,10000.0
2008-02-07,4043408032.0,1336.91,297368100.0,122.12,11255800,94.34,-1.21465968586,IBM,BUY,95.5015,1,1.0,2.65956718877,100.820634378,90.1823656225,70,0,1,94.34,0,0,0.0,0,100,100,566.0,9434.0,10000.0
2008-02-08,3195169934.0,1331.29,221643500.0,121.34,6085600,95.2,0.911596353615,IBM,None,95.6735,1,1.0,2.51200334185,100.697506684,90.6494933163,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10086.0
2008-02-11,3003486390.0,1339.13,188576300.0,121.96,6098300,96.92,1.80672268908,IBM,None,96.0345,1,1.0,2.09206137326,100.218622747,91.8503772535,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10258.0
2008-02-12,3184743023.0,1348.86,256654400.0,123.09,7650200,98.21,1.33099463475,IBM,None,96.2185,1,1.0,2.11448457076,100.447469142,91.9895308585,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10387.0
2008-02-13,3062644028.0,1367.21,181967800.0,124.35,6608200,99.95,1.77171367478,IBM,None,96.54,1,1.0,2.17067537392,100.881350748,92.1986492522,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10561.0
2008-02-14,2852327094.0,1348.86,215108500.0,123.25,7340600,97.84,-2.11105552776,IBM,None,96.7655,1,1.0,2.05059291811,100.866685836,92.6643141638,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10350.0
2008-02-15,3046798400.0,1349.99,154110300.0,123.22,6235600,97.87,0.0306623058054,IBM,None,97.0165,1,1.0,1.84280185701,100.702103714,93.330896286,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10353.0
2008-02-19,2861105869.0,1348.78,145190000.0,123.57,7376400,96.8,-1.09328701339,IBM,None,97.1085,1,1.0,1.77957497883,100.667649958,93.5493500423,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10246.0
2008-02-20,3203717695.0,1360.03,220085700.0,123.94,7671000,99.42,2.70661157025,IBM,None,97.4315,1,1.0,1.55964326218,100.550786524,94.3122134756,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10508.0
2008-02-21,3056214844.0,1342.53,201051200.0,122.91,8328000,98.57,-0.854958760813,IBM,None,97.488,1,1.0,1.5802984395,100.648596879,94.327403121,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10423.0
2008-02-22,2934422068.0,1353.11,205491000.0,123.66,7917200,99.63,1.07537790403,IBM,None,97.5605,1,1.0,1.64562730001,100.8517546,94.2692454,70,0,0,94.34,0,0,0.0,0,100,100,566.0,0.0,10529.0
2008-02-25,3036551324.0,1371.8,190107000.0,125.22,8158000,101.48,1.85687042056,IBM,SELL,97.835,1,1.0,1.81865624193,101.472312484,94.1976875161,70,0,0,0.0,1,0,0.0,0,0,100,10714.0,-10148.0,10714.0
2008-02-26,3167905982.0,1381.29,212420700.0,126.16,18651500,105.44,3.90224674813,IBM,None,98.2865,1,1.0,2.45561713757,103.197734275,93.3752657249,70,0,0,0.0,0,0,0.0,0,0,100,10714.0,0.0,10714.0
