,$SPX,Cummulative_Value
2008-02-07,1336.91,10000.0
2008-02-08,1331.29,10086.0
2008-02-11,1339.13,10258.0
2008-02-12,1348.86,10387.0
2008-02-13,1367.21,10561.0
2008-02-14,1348.86,10350.0
2008-02-15,1349.99,10353.0
2008-02-19,1348.78,10246.0
2008-02-20,1360.03,10508.0
2008-02-21,1342.53,10423.0
2008-02-22,1353.11,10529.0
2008-02-25,1371.8,10714.0
2008-02-26,1381.29,10714.0
2008-02-27,1380.02,10714.0
2008-02-28,1367.68,10714.0
2008-02-29,1330.63,10714.0
2008-03-03,1331.34,10714.0
2008-03-04,1326.75,10714.0
2008-03-05,1333.7,10714.0
2008-03-06,1304.34,10714.0
2008-03-07,1293.37,10714.0
2008-03-10,1273.37,10714.0
2008-03-11,1320.65,10714.0
2008-03-12,1308.77,10714.0
2008-03-13,1315.48,10714.0
2008-03-14,1288.14,10714.0
2008-03-17,1276.6,10714.0
2008-03-18,1330.74,10714.0
2008-03-19,1298.42,10714.0
2008-03-20,1329.51,10714.0
2008-03-24,1349.88,10714.0
2008-03-25,1352.99,10714.0
2008-03-26,1341.13,10714.0
2008-03-27,1325.76,10714.0
2008-03-28,1315.22,10627.0
2008-03-31,1322.7,10679.0
2008-04-01,1370.18,10804.0
2008-04-02,1367.53,10649.0
2008-04-03,1369.31,10760.0
2008-04-04,1370.4,10736.0
2008-04-07,1372.54,10787.0
2008-04-08,1365.54,10784.0
2008-04-09,1354.49,10830.0
2008-04-10,1360.55,11015.0
2008-04-11,1332.83,10759.0
2008-04-14,1328.32,10877.0
2008-04-15,1334.43,10866.0
2008-04-16,1364.71,11171.0
2008-04-17,1365.56,11171.0
2008-04-18,1390.33,11171.0
2008-04-21,1388.17,11171.0
2008-04-22,1375.94,11171.0
2008-04-23,1379.93,11171.0
2008-04-24,1388.82,11171.0
2008-04-25,1397.84,11171.0
2008-04-28,1396.37,11171.0
2008-04-29,1390.94,11171.0
2008-04-30,1385.59,11171.0
2008-05-01,1409.34,11171.0
2008-05-02,1413.9,11171.0
2008-05-05,1407.49,11171.0
2008-05-06,1418.26,11171.0
2008-05-07,1392.57,11171.0
2008-05-08,1397.68,11171.0
2008-05-09,1388.28,11171.0
2008-05-12,1403.58,11171.0
2008-05-13,1403.04,11171.0
2008-05-14,1408.66,11171.0
2008-05-15,1423.57,11171.0
2008-05-16,1425.35,11171.0
2008-05-19,1426.63,11171.0
2008-05-20,1413.4,11171.0
2008-05-21,1390.71,11171.0
2008-05-22,1394.35,11271.0
2008-05-23,1375.93,11224.0
2008-05-27,1385.35,11513.0
2008-05-28,1390.84,11719.0
2008-05-29,1398.26,11734.0
2008-05-30,1400.38,11708.0
2008-06-02,1385.67,11517.0
2008-06-03,1377.65,11561.0
2008-06-04,1377.2,11534.0
2008-06-05,1404.05,11620.0
2008-06-06,1360.68,11293.0
2008-06-09,1361.76,11378.0
2008-06-10,1358.44,11385.0
2008-06-11,1335.49,11136.0
2008-06-12,1339.87,11192.0
2008-06-13,1360.03,11405.0
2008-06-16,1360.14,11457.0
2008-06-17,1350.93,11457.0
2008-06-18,1337.81,11457.0
2008-06-19,1342.83,11457.0
2008-06-20,1317.93,11457.0
2008-06-23,1318.0,11457.0
2008-06-24,1314.29,11457.0
2008-06-25,1321.97,11457.0
2008-06-26,1283.15,11457.0
2008-06-27,1278.38,11457.0
2008-06-30,1280.0,11457.0
2008-07-01,1284.91,11457.0
2008-07-02,1261.52,11457.0
2008-07-03,1262.9,11457.0
2008-07-07,1252.31,11457.0
2008-07-08,1273.7,11457.0
2008-07-09,1244.69,11779.0
2008-07-10,1253.39,11522.0
2008-07-11,1239.49,11620.0
2008-07-14,1228.3,11674.0
2008-07-15,1214.91,11520.0
2008-07-16,1245.36,11267.0
2008-07-17,1260.32,11267.0
2008-07-18,1260.68,11267.0
2008-07-21,1260.0,11267.0
2008-07-22,1277.0,11267.0
2008-07-23,1282.19,11267.0
2008-07-24,1252.54,11267.0
2008-07-25,1257.76,11267.0
2008-07-28,1234.37,11267.0
2008-07-29,1263.2,11267.0
2008-07-30,1284.26,11267.0
2008-07-31,1267.38,11267.0
2008-08-01,1260.31,11267.0
2008-08-04,1249.01,11267.0
2008-08-05,1284.88,11267.0
2008-08-06,1289.19,11267.0
2008-08-07,1266.07,11267.0
2008-08-08,1296.32,11267.0
2008-08-11,1305.32,11267.0
2008-08-12,1289.59,11139.0
2008-08-13,1285.83,11193.0
2008-08-14,1292.93,11299.0
2008-08-15,1298.2,11245.0
2008-08-18,1278.6,11080.0
2008-08-19,1266.69,11080.0
2008-08-20,1274.54,11080.0
2008-08-21,1277.72,11080.0
2008-08-22,1292.2,11080.0
2008-08-25,1266.84,11080.0
2008-08-26,1271.51,11080.0
2008-08-27,1281.66,11080.0
2008-08-28,1300.68,11080.0
2008-08-29,1282.83,11080.0
2008-09-02,1277.58,11080.0
2008-09-03,1274.98,11080.0
2008-09-04,1236.83,11080.0
2008-09-05,1242.31,11080.0
2008-09-08,1267.79,11080.0
2008-09-09,1224.51,11080.0
2008-09-10,1232.04,11080.0
2008-09-11,1249.05,11080.0
2008-09-12,1251.7,11080.0
2008-09-15,1192.7,11080.0
2008-09-16,1213.6,11080.0
2008-09-17,1156.39,11080.0
