,Volume of SPY,SPY,Volume of IBM,IBM,Symbol,Order,rolling_mean,rolling_std,upper_band,lower_band,rolling_volume,rolling_std_volume,long execute,long exit,short execute,short exit,shares,Shares,Cash,Trades,Cummulative_Value
2008-01-14,170365500.0,128.82,18009400,94.53,IBM,None,93.239,3.24241833616,99.7238366723,86.7541633277,10441020.0,3291765.04319,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-15,239940100.0,125.99,11629500,93.52,IBM,None,92.664,2.4724985114,97.6089970228,87.7190029772,11030740.0,2853539.66902,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-16,378802600.0,124.9,12681700,93.33,IBM,None,92.383,2.17538272495,96.7337654499,88.0322345501,11348560.0,2841504.08458,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-17,397892600.0,121.67,11934000,92.85,IBM,None,92.034,1.6974765585,95.428953117,88.639046883,11789070.0,2505100.48681,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-18,348561500.0,120.42,23871700,94.96,IBM,None,92.243,1.92523043354,96.0934608671,88.3925391329,13072780.0,4538983.7964,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-22,435923700.0,119.19,15129500,92.96,IBM,None,92.351,1.93288184383,96.2167636877,88.4852363123,13320690.0,4580859.49903,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-23,511913000.0,122.06,19588100,97.44,IBM,None,93.133,2.25951346779,97.6520269356,88.6139730644,14336060.0,4746061.28541,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-24,259949300.0,123.09,13025700,98.18,IBM,None,93.923,2.51749897937,98.9579979587,88.8880020413,14546420.0,4622953.44121,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-25,269603900.0,121.31,10025400,95.99,IBM,None,94.346,2.46857673794,99.2831534759,89.4088465241,14485490.0,4683852.05323,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-28,217934600.0,123.32,7858500,96.41,IBM,None,95.017,1.91535346317,98.8477069263,91.1862930737,14375350.0,4838615.20507,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-29,168968300.0,123.93,6616200,97.44,IBM,None,95.308,2.04950292076,99.4070058415,91.2089941585,13236030.0,5214588.11222,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-30,334939200.0,123.01,7431100,97.02,IBM,None,95.658,2.00868005306,99.6753601061,91.6406398939,12816190.0,5518463.75592,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-01-31,343680800.0,125.26,9054600,98.36,IBM,None,96.161,1.99065288006,100.14230576,92.1796942399,12453480.0,5646010.05978,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-01,206843600.0,127.27,8047100,100.17,IBM,None,96.893,1.98369492502,100.86038985,92.92561015,12064790.0,5816952.16519,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-04,124694300.0,125.67,5985500,99.12,IBM,None,97.309,1.96942997957,101.247859959,93.3701400409,10276170.0,4347354.50259,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-05,286882500.0,122.3,9048900,96.45,IBM,None,97.658,1.31292548659,100.283850973,95.0321490268,9668110.0,4004850.26033,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-06,250792900.0,121.32,8265700,95.5,IBM,None,97.464,1.48125472339,100.426509447,94.5014905532,8535870.0,1974569.10914,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-07,297368100.0,122.12,11255800,94.34,IBM,None,97.08,1.74862485653,100.577249713,93.5827502869,8358880.0,1564058.10051,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-08,221643500.0,121.34,6085600,95.2,IBM,None,97.001,1.81974021345,100.640480427,93.3615195731,7964900.0,1593556.82951,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-11,188576300.0,121.96,6098300,96.92,IBM,None,97.052,1.80844807624,100.668896152,93.4351038475,7788880.0,1700256.66415,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-12,256654400.0,123.09,7650200,98.21,IBM,None,97.129,1.8428688384,100.814737677,93.4432623232,7892280.0,1651766.48457,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-13,181967800.0,124.35,6608200,99.95,IBM,None,97.422,2.0454056919,101.512811384,93.3311886162,7809990.0,1697169.23431,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-14,215108500.0,123.25,7340600,97.84,IBM,None,97.37,2.02542176678,101.420843534,93.3191564664,7638590.0,1643199.58918,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-15,154110300.0,123.22,6235600,97.87,IBM,None,97.14,1.78891649392,100.717832988,93.5621670122,7457440.0,1692279.57055,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-19,145190000.0,123.57,7376400,96.8,IBM,None,96.908,1.6485333549,100.20506671,93.6109332902,7596530.0,1613167.73052,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-20,220085700.0,123.94,7671000,99.42,IBM,None,97.205,1.81589433124,100.836788662,93.5732113375,7458740.0,1532140.74868,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-21,201051200.0,122.91,8328000,98.57,IBM,None,97.512,1.7540733546,101.020146709,94.0038532908,7464970.0,1535908.62868,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-22,205491000.0,123.66,7917200,99.63,IBM,None,98.041,1.46503280206,100.971065604,95.1109343959,7131110.0,813130.625627,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-25,190107000.0,125.22,8158000,101.48,IBM,None,98.669,1.45787097432,101.584741949,95.7532580514,7338350.0,780495.602166,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-26,212420700.0,126.16,18651500,105.44,IBM,None,99.521,2.46434327515,104.44968655,94.5923134497,8593670.0,3592800.15155,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-27,168395800.0,126.03,11854900,107.36,IBM,None,100.436,3.43213312355,107.300266247,93.5717337529,9014140.0,3714109.00971,0,0,0,0,0,0,10000.0,0.0,10000.0
2008-02-28,170831100.0,124.8,7227200,106.24,IBM,SELL,101.065,3.88028707415,108.825574148,93.3044258517,9076040.0,3674502.88103,0,0,1,0,-100,100,20624.0,-10624.0,10000.0
2008-02-29,252715200.0,122.02,8475100,104.96,IBM,None,101.777,3.87600323931,109.529006479,94.0249935214,9189490.0,3632238.5303,0,0,0,0,-100,100,20624.0,0.0,10128.0
2008-03-03,189483500.0,121.73,6335700,105.3,IBM,None,102.52,3.75406446402,110.028128928,95.011871072,9199500.0,3623320.45229,0,0,0,0,-100,100,20624.0,0.0,10094.0
2008-03-04,282513100.0,121.26,8593300,106.67,IBM,None,103.507,3.35988442262,110.226768845,96.7872311548,9321190.0,3575406.11787,0,0,0,0,-100,100,20624.0,0.0,9957.0
2008-03-05,270681400.0,122.03,8434200,106.37,IBM,None,104.202,3.13160164914,110.465203298,97.9387967017,9397510.0,3544277.65668,0,0,0,0,-100,100,20624.0,0.0,9987.0
2008-03-06,247911700.0,119.5,8018400,103.73,IBM,BUY,104.718,2.45182834273,109.621656685,99.8143433145,9366550.0,3555990.94651,0,0,0,1,0,100,10251.0,10373.0,10251.0
2008-03-07,326434600.0,118.27,8124900,105.04,IBM,None,105.259,1.67969210142,108.618384203,101.899615797,9387320.0,3547180.5686,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-10,235683300.0,116.71,9747300,105.1,IBM,None,105.621,1.04489712412,107.710794248,103.531205752,9546250.0,3521492.42928,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-11,341440600.0,120.91,10480600,107.39,IBM,None,105.816,1.18051965959,108.177039319,103.454960681,8729160.0,1595105.43169,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-12,229161100.0,119.78,9083200,107.92,IBM,None,105.872,1.271663827,108.415327654,103.328672346,8451990.0,1177856.51498,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-13,351504200.0,120.04,9548900,106.85,IBM,None,105.933,1.30545905081,108.543918102,103.322081898,8684160.0,1137745.60933,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-14,484687800.0,118.18,9734600,106.23,IBM,None,106.06,1.26131324861,108.582626497,103.537373503,8810110.0,1180925.707,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-17,405311100.0,116.99,9280300,106.52,IBM,None,106.182,1.23842911249,108.658858225,103.705141775,9104570.0,801566.286231,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-18,334416600.0,121.85,9966500,109.16,IBM,None,106.431,1.5568376066,109.544675213,103.317324787,9241890.0,821620.018216,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-19,345971600.0,118.83,9314400,107.8,IBM,None,106.574,1.61519314291,109.804386286,103.343613714,9329910.0,771071.004729,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-20,245320700.0,121.03,11417900,109.08,IBM,None,107.109,1.44564825905,110.000296518,104.217703482,9669860.0,871457.156721,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-24,208977300.0,123.45,8398000,109.76,IBM,None,107.581,1.46546503806,110.511930076,104.650069924,9697170.0,820447.457929,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-25,192947200.0,123.57,8443600,108.75,IBM,None,107.946,1.21139222018,110.36878444,105.52321556,9566800.0,910260.502396,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-26,196934300.0,122.06,9617100,107.78,IBM,None,107.985,1.19770382167,110.380407643,105.589592357,9480450.0,853105.703038,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-27,225153200.0,121.67,8437200,106.49,IBM,None,107.842,1.288270158,110.418540316,105.265459684,9415850.0,909147.064561,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-28,180896100.0,120.51,6600900,105.62,IBM,None,107.719,1.44294028521,110.60488057,104.83311943,9121050.0,1268249.28609,0,0,0,0,0,100,10251.0,0.0,10251.0
2008-03-31,166692100.0,120.93,9707200,106.14,IBM,None,107.71,1.45350151932,110.617003039,104.802996961,9118310.0,1266805.22966,0,0,0,0,0,100,10251.0,0.0,10251.0
