Date,Symbol,Order,Shares
2008-02-07,IBM,BUY,100
2008-02-25,IBM,SELL,100
2008-03-27,IBM,BUY,100
2008-04-16,IBM,SELL,100
2008-05-21,IBM,BUY,100
2008-06-16,IBM,SELL,100
2008-07-08,IBM,SELL,100
2008-07-09,IBM,BUY,100
2008-07-10,IBM,SELL,100
2008-07-11,IBM,BUY,100
2008-07-15,IBM,SELL,100
2008-07-16,IBM,BUY,100
2008-08-11,IBM,BUY,100
2008-08-20,IBM,SELL,100
2008-09-19,IBM,SELL,100
2008-09-22,IBM,BUY,100
2008-09-25,IBM,SELL,100
2008-09-26,IBM,BUY,100
2008-09-30,IBM,SELL,100
2008-10-01,IBM,BUY,100
2008-10-30,IBM,SELL,100
2008-10-31,IBM,BUY,100
2008-11-03,IBM,SELL,100
2008-11-04,IBM,BUY,100
2008-11-05,IBM,SELL,100
2008-11-06,IBM,BUY,100
2008-12-03,IBM,SELL,100
2008-12-04,IBM,BUY,100
2008-12-05,IBM,SELL,100
2008-12-08,IBM,BUY,100
2008-12-09,IBM,SELL,100
2008-12-10,IBM,BUY,100
2008-12-23,IBM,BUY,100
2009-01-06,IBM,SELL,100
2009-01-14,IBM,BUY,100
2009-01-21,IBM,SELL,100
2009-02-17,IBM,BUY,100
2009-02-23,IBM,SELL,100
2009-02-27,IBM,SELL,100
2009-03-02,IBM,BUY,100
2009-03-12,IBM,SELL,100
2009-03-13,IBM,BUY,100
2009-03-16,IBM,SELL,100
2009-03-17,IBM,BUY,100
2009-04-27,IBM,BUY,100
2009-04-29,IBM,SELL,100
2009-05-08,IBM,BUY,100
2009-06-01,IBM,SELL,100
2009-06-18,IBM,BUY,100
2009-07-01,IBM,SELL,100
2009-07-15,IBM,SELL,100
2009-07-16,IBM,BUY,100
2009-08-17,IBM,BUY,100
2009-09-03,IBM,SELL,100
2009-09-11,IBM,SELL,100
2009-09-14,IBM,BUY,100
2009-09-29,IBM,BUY,100
2009-10-09,IBM,SELL,100
2009-10-16,IBM,BUY,100
2009-11-09,IBM,SELL,100
2009-11-12,IBM,SELL,100
2009-11-13,IBM,BUY,100
2009-12-07,IBM,BUY,100
2009-12-10,IBM,SELL,100
2009-12-17,IBM,BUY,100
2009-12-28,IBM,SELL,100
