,SPY,IBM,rolling_mean,rolling_std,upper_band,lower_band,buy trigger loaded,sell trigger loaded,buy trigger execute,sell trigger execute,shares
2007-01-31,128.7,89.79,89.1545,1.110943056,91.376386112,86.932613888,0,0,0,0,0
2007-02-01,129.47,89.66,89.233,1.08697600806,91.4069520161,87.0590479839,0,0,0,0,0
2007-02-02,129.65,89.81,89.272,1.0932838029,91.4585676058,87.0854323942,0,0,0,0,0
2007-02-05,129.69,90.91,89.406,1.12269131531,91.6513826306,87.1606173694,0,0,0,0,0
2007-02-06,129.72,90.43,89.449,1.14554009326,91.7400801865,87.1579198135,0,0,0,0,0
2007-02-07,130.01,90.42,89.4385,1.13505981758,91.7086196352,87.1683803648,0,0,0,0,0
2007-02-08,129.84,90.49,89.485,1.15909447415,91.8031889483,87.1668110517,0,0,0,0,0
2007-02-09,128.87,89.52,89.494,1.15860805779,91.8112161156,87.1767838844,0,0,0,0,0
2007-02-12,128.43,89.54,89.473,1.15351225668,91.7800245134,87.1659754866,0,0,0,0,0
2007-02-13,129.51,89.28,89.372,1.07057584111,91.5131516822,87.2308483178,0,0,0,0,0
2007-02-14,130.37,90.11,89.3485,1.0475750193,91.4436500386,87.2533499614,0,0,0,0,0
2007-02-15,130.54,89.85,89.338,1.04110063218,91.4202012644,87.2557987356,0,0,0,0,0
2007-02-16,130.47,89.92,89.4795,0.902589695207,91.2846793904,87.6743206096,0,0,0,0,0
2007-02-20,130.75,90.24,89.5945,0.840504078076,91.2755081562,87.9134918438,0,0,0,0,0
2007-02-21,130.7,90.01,89.699,0.745963876648,91.1909277533,88.2070722467,0,0,0,0,0
2007-02-22,130.6,89.47,89.762,0.662082837876,91.0861656758,88.4378343242,0,0,0,0,0
2007-02-23,130.09,88.77,89.785,0.615326186497,91.015652373,88.554347627,0,0,0,0,0
2007-02-26,129.97,88.03,89.774,0.645440689925,91.0648813798,88.4831186202,0,0,0,0,0
2007-02-27,124.9,85.35,89.5795,1.17977016049,91.939040321,87.219959679,0,0,0,0,0
2007-02-28,126.18,84.42,89.301,1.64390389013,92.5888077803,86.0131922197,0,0,0,0,0
2007-03-01,125.8,83.81,89.002,2.04514727304,93.0922945461,84.9117054539,0,0,0,0,0
2007-03-02,124.15,82.57,88.6475,2.49097502576,93.6294500515,83.6655499485,0,0,0,0,0
2007-03-05,122.97,83.4,88.327,2.73404096531,93.7950819306,82.8589180694,0,0,0,0,0
2007-03-06,125.07,85.2,88.0415,2.74821142793,93.5379228559,82.5450771441,0,0,0,0,0
2007-03-07,124.95,85.33,87.7865,2.7515302441,93.2895604882,82.2834395118,0,0,0,0,0
2007-03-08,126.01,84.48,87.4895,2.77280871282,93.0351174256,81.9438825744,0,0,0,0,0
2007-03-09,126.04,84.73,87.2015,2.74373789411,92.6889757882,81.7140242118,0,0,0,0,0
2007-03-12,126.23,85.48,86.9995,2.71260115019,92.4247023004,81.5742976996,0,0,0,0,0
2007-03-13,123.78,84.21,86.733,2.71169610935,92.1563922187,81.3096077813,0,0,0,0,0
2007-03-14,124.7,85.17,86.5275,2.66382960376,91.8551592075,81.1998407925,0,0,0,0,0
2007-03-15,124.87,84.88,86.266,2.54781722884,91.3616344577,81.1703655423,0,0,0,0,0
2007-03-16,124.52,84.7,86.0085,2.42375583928,90.8560116786,81.1609883214,0,0,0,0,0
2007-03-19,126.02,85.38,85.7815,2.24407823065,90.2696564613,81.2933435387,0,0,0,0,0
2007-03-20,126.71,85.84,85.5615,1.98466562211,89.5308312442,81.5921687558,0,0,0,0,0
2007-03-21,128.8,86.62,85.392,1.71058192622,88.8131638524,81.9708361476,0,0,0,0,0
2007-03-22,128.7,86.47,85.242,1.44509551678,88.1321910336,82.3518089664,0,0,0,0,0
2007-03-23,128.89,86.32,85.1195,1.21596604437,87.5514320887,82.6875679113,0,0,0,0,0
2007-03-26,128.72,86.29,85.0325,1.04731674694,87.1271334939,82.9378665061,0,0,0,0,0
2007-03-27,128.41,86.05,85.0675,1.06993789785,87.2073757957,82.9276242043,0,0,0,0,0
2007-03-28,127.48,85.62,85.1275,1.06535328956,87.2582065791,82.9967934209,0,0,0,0,0
2007-03-29,127.61,85.9,85.232,1.03127718465,87.2945543693,83.1694456307,0,0,0,0,0
2007-03-30,127.64,85.62,85.3845,0.820984486038,87.0264689721,83.7425310279,0,0,0,0,0
2007-04-02,127.78,86.48,85.5385,0.710591117903,86.9596822358,84.1173177642,0,0,0,0,0
2007-04-03,129.16,87.29,85.643,0.805527613954,87.2540552279,84.0319447721,0,0,0,0,0
2007-04-04,129.3,87.39,85.746,0.890608307784,87.5272166156,83.9647833844,0,0,0,0,0
2007-04-05,129.65,87.67,85.9055,0.936418007201,87.7783360144,84.0326639856,0,0,0,0,0
2007-04-09,129.83,87.76,86.057,0.980306611541,88.0176132231,84.0963867769,0,0,0,0,0
2007-04-10,129.98,87.62,86.164,1.02956505891,88.2231301178,84.1048698822,0,0,0,0,0
2007-04-11,129.45,86.44,86.2755,0.921940031159,88.1193800623,84.4316199377,0,0,0,0,0
2007-04-12,130.03,86.9,86.362,0.893476945775,88.1489538916,84.5750461084,0,0,0,0,0
2007-04-13,130.62,86.23,86.4295,0.823909007495,88.077318015,84.781681985,0,0,0,0,0
2007-04-16,131.86,87.36,86.5625,0.740503918039,88.0435078361,85.0814921639,0,0,0,0,0
2007-04-17,132.21,88.22,86.7045,0.773382692768,88.2512653855,85.1577346145,0,0,0,0,0
2007-04-18,132.37,86.11,86.718,0.759734025481,88.237468051,85.198531949,0,0,0,0,0
2007-04-19,132.34,85.65,86.6695,0.79639632424,88.2622926485,85.0767073515,0,0,0,0,0
2007-04-20,133.59,85.91,86.6415,0.813441519264,88.2683830385,85.0146169615,0,0,0,0,0
2007-04-23,133.08,86.48,86.6495,0.81089602812,88.2712920562,85.0277079438,0,0,0,0,0
2007-04-24,133.14,89.46,86.808,1.01982248197,88.8476449639,84.7683550361,0,0,0,0,0
2007-04-25,134.36,92.16,87.1135,1.55535501109,90.2242100222,84.0027899778,0,0,0,0,0
2007-04-26,134.51,91.65,87.415,1.81361372316,91.0422274463,83.7877725537,0,0,0,0,0
2007-04-27,134.41,91.9,87.715,2.03281888804,91.7806377761,83.6493622239,0,0,0,0,0
2007-04-30,133.29,92.84,88.076,2.26860587841,92.6132117568,83.5387882432,0,0,0,0,0
2007-05-01,133.63,93.71,88.4375,2.55843265137,93.5543653027,83.3206346973,0,0,0,0,0
2007-05-02,134.42,92.85,88.7155,2.72390678216,94.1633135643,83.2676864357,0,0,0,0,0
2007-05-03,135.14,93.38,89.015,2.89446204437,94.8039240887,83.2260759113,0,0,0,0,0
2007-05-04,135.66,93.52,89.3075,3.04315604007,95.3938120801,83.2211879199,0,0,0,0,0
2007-05-07,135.68,93.71,89.605,3.17201828494,95.9490365699,83.2609634301,0,0,0,0,0
2007-05-08,135.5,94.19,89.9335,3.29350281455,96.5205056291,83.3464943709,0,0,0,0,0
2007-05-09,135.87,95.18,90.3705,3.38415732339,97.1388146468,83.6021853532,0,0,0,0,0
2007-05-10,134.45,95.46,90.7985,3.46252763622,97.7235552724,83.8734447276,0,0,0,0,0
2007-05-11,135.6,96.64,91.319,3.52156050936,98.3621210187,84.2758789813,0,0,0,0,0
2007-05-14,135.3,96.27,91.7645,3.55776167806,98.8800233561,84.6489766439,0,0,0,0,0
2007-05-15,135.34,95.59,92.133,3.55298851228,99.2389770246,85.0270229754,0,0,0,0,0
2007-05-16,136.27,96.54,92.6545,3.38383692994,99.4221738599,85.8868261401,0,0,0,0,0
2007-05-17,136.0,96.03,93.1735,3.03055019323,99.2346003865,87.1123996135,0,0,0,0,0
2007-05-18,137.18,98.47,93.8015,2.73291106601,99.267322132,88.335677868,0,0,0,0,0
2007-05-21,137.11,97.61,94.358,2.2549795191,98.8679590382,89.8480409618,0,0,0,0,0
2007-05-22,137.0,97.3,94.75,2.02881090401,98.807621808,90.692378192,0,0,0,0,0
2007-05-23,137.02,96.28,94.956,1.95998764765,98.8759752953,91.0360247047,0,0,0,0,0
2007-05-24,135.78,94.79,95.113,1.80050314605,98.7140062921,91.5119937079,0,0,0,0,0
2007-05-25,136.35,95.91,95.3135,1.6399976733,98.5934953466,92.0335046534,0,0,0,0,0
2007-05-29,136.84,96.58,95.5005,1.55408959641,98.6086791928,92.3923208072,0,0,0,0,0
2007-05-30,137.96,97.51,95.6905,1.55595452173,98.8024090435,92.5785909565,0,0,0,0,0
2007-05-31,137.81,97.21,95.9085,1.43799668765,98.7844933753,93.0325066247,0,0,0,0,0
2007-06-01,138.5,97.15,96.097,1.33231535701,98.761630714,93.432369286,0,0,0,0,0
2007-06-04,138.51,96.87,96.2645,1.19476258377,98.6540251675,93.8749748325,0,0,0,0,0
2007-06-05,137.97,96.51,96.4045,1.03274022311,98.4699804462,94.3390195538,0,0,0,0,0
2007-06-06,136.48,93.39,96.3645,1.13359453904,98.6316890781,94.0973109219,0,0,0,0,0
2007-06-07,134.02,92.83,96.247,1.36167891725,98.9703578345,93.5236421655,0,0,0,0,0
2007-06-08,135.76,93.99,96.1735,1.44360395137,99.0607079027,93.2862920973,0,0,0,0,0
2007-06-11,136.0,94.12,96.0475,1.50922732061,99.0659546412,93.0290453588,0,0,0,0,0
2007-06-12,134.51,93.32,95.9,1.6259766296,99.1519532592,92.6480467408,0,0,0,0,0
2007-06-13,136.53,94.03,95.822,1.67820894502,99.17841789,92.46558211,0,0,0,0,0
2007-06-14,137.4,94.7,95.73,1.68718700801,99.104374016,92.355625984,0,0,0,0,0
2007-06-15,138.18,95.83,95.72,1.68590753321,99.0918150664,92.3481849336,0,0,0,0,0
2007-06-18,138.02,96.05,95.599,1.56031339632,98.7196267926,92.4783732074,0,0,0,0,0
2007-06-19,138.36,97.12,95.5745,1.53063961519,98.6357792304,92.5132207696,0,0,0,0,0
2007-06-20,136.44,96.66,95.5425,1.49903082725,98.5405616545,92.5444383455,0,0,0,0,0
2007-06-21,137.2,97.21,95.589,1.53705425717,98.6631085143,92.5148914857,0,0,0,0,0
2007-06-22,135.91,95.24,95.6115,1.52800962728,98.6675192546,92.5554807454,0,0,0,0,0
2007-06-25,135.26,95.84,95.608,1.5273699445,98.662739889,92.553260111,0,0,0,0,0
2007-06-26,133.87,96.05,95.5815,1.51415870336,98.6098174067,92.5531825933,0,0,0,0,0
2007-06-27,135.77,96.14,95.513,1.45203704462,98.4170740892,92.6089259108,0,0,0,0,0
2007-06-28,135.75,96.61,95.483,1.42099705544,98.3249941109,92.6410058891,0,0,0,0,0
2007-06-29,135.8,95.98,95.4245,1.37199614469,98.1684922894,92.6805077106,0,0,0,0,0
2007-07-02,137.03,95.76,95.369,1.33232246768,98.0336449354,92.7043550646,0,0,0,0,0
2007-07-03,137.52,97.19,95.403,1.37108524055,98.1451704811,92.6608295189,0,0,0,0,0
2007-07-05,137.38,98.53,95.66,1.45317438371,98.5663487674,92.7536512326,0,0,0,0,0
2007-07-06,138.1,99.42,95.9895,1.52315280707,99.0358056141,92.9431943859,0,0,0,0,0
2007-07-09,138.21,99.37,96.2585,1.62322704901,99.504954098,93.012045902,0,0,0,0,0
2007-07-10,136.24,99.06,96.5055,1.65620833612,99.8179166722,93.1930833278,0,0,0,0,0
2007-07-11,137.21,99.49,96.814,1.60548205583,100.024964112,93.6030358883,0,0,0,0,0
2007-07-12,139.37,99.65,97.095,1.58424645876,100.263492918,93.9265070825,0,0,0,0,0
2007-07-13,139.79,99.03,97.3115,1.53481792165,100.381135843,94.2418641567,0,0,0,0,0
2007-07-16,139.77,100.0,97.52,1.60462161469,100.729243229,94.3107567706,0,0,0,0,0
2007-07-17,139.7,101.01,97.768,1.74281260882,101.253625218,94.2823747824,0,0,0,0,0
2007-07-18,139.44,101.29,97.9765,1.90326112101,101.783022242,94.169977758,0,0,0,0,0
